"switch","direction","distance","weight","switch_activation","test_num"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.39","45.814814814814824","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.4","45.99943019943021","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.41","46.03532763532765","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.42","46.360968660968666","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.43","46.360968660968666","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.44","45.53532763532765","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.45","44.966096866096876","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.46","44.66096866096867","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.47","44.55584045584047","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.48","51.61225071225072","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.49","44.807122507122514","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.5","44.63789173789175","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.5","44.837891737891745","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.51","44.57378917378918","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.52","44.57378917378918","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.53","44.278917378917384","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.55","44.06096866096867","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.55","44.363532763532774","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.56","43.57122507122508","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.57","43.73532763532764","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.58","43.407122507122516","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.59","43.73532763532764","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.61","43.26609686609687","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.62","43.299430199430205","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.63","43.10712250712252","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.64","43.1917378917379","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.65","42.74301994301995","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.66","42.71994301994303","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.67","42.52763532763534","0","1"
